,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
奢,シャ　おごる　extravagance,奢,"extravagance, luxury","extravagance, luxury",,シャ,おご.る、 おご.り,kunyomi,,62,,,,"奢る
シャ        華奢【きゃしゃ】luxury; delicate
豪奢【ごうしゃ】luxury; magnificence; extravagance",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,2,,
妬,ト　ねた.む　envy,妬,jealous,"jealous, envy",,ト、 ツ,ねた.む、 そね.む、 つも.る、 ふさ.ぐ,onyomi,,62,,,,"妬む,嫉妬",,,,,嫉妬(しっと): jealousy; envy<br>妬む(ねたむ): to be jealous of; to envy; to begrudge,女: woman; female<br>石: stone,8,女,(none),形声 Phonetic,"The jealous woman bashed the brains in of the guy who betrayed her, with a stone.",Every woman wants a huge stone on her finger to make her friends jealous.,123,JLPT.N0 gradeS Kanji_Emotion.Sense_Emotion,2,,
姑,しゅうとめ　コ　mother-in-law,姑,mother-in-law,mother-in-law,,コ,しゅうとめ、 しゅうと、 おば、 しばらく,kunyomi,,62,,,,"姑
コ        姑息【こそく】makeshift
因循姑息【いんじゅんこそく】dilly-dallying and temporizing (temporising)",,,,,麻姑(まこ): (1) Ma Gu; legendary Taoist immortal with long talon-like fingernails (2) backscratcher,女: woman; female<br>古: old,,,(none),,"""According to Japanese traditions, daughters-in-law have to pay respect to the woman who is their mother-in-law, because they are older.""",My mother-in-law is the OLDER version of my WOMAN on the left.,2317,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,2,,
姪,めい　テツ　niece,姪,niece,niece,,テツ,めい、 おい,kunyomi,,62,,,,"姪
テツ        令姪【れいてつ】your niece",,,,,姪(めい): niece,女: woman; female<br>至: climax; arrive; proceed; reach; attain; result in,,,(none),,"""Little did you know, the woman who made you climax was your niece.""","""My niece is a WOMAN now, and can make herself CLIMAX.""",2314,JLPT.N0 Kanji_People_Family ShouldSuspend gradeS+ jinmeiyou,2,,
婉,エン　well finished,婉,well finished,graceful,,エン,,onyomi,,62,,,,婉曲,,,,,婉曲(えんきょく): euphemistic; circumlocution; roundabout; indirect,女: woman; female<br>宛: address; just like; fortunately,,,(none),,"""To become well finished, young women often go to a finishing school at a posh address.""","""When asking a girl out on a date, you are only well finished when you have her address and phone number.""",2310,JLPT.N0 ShouldSuspend gradeS+,2,,
嫉,シツ　ねた.む　envy,嫉,envy,"jealous, envy",,シツ,,onyomi,,62,,,,嫉妬,,,,,嫉妬(しっと): jealousy; envy,女: woman; female<br>疾: rapidly,13,女,(none),形声 Phonetic,If you go through women rapidly you will be the object of envy.,"Ah, puberty ... the girl that starts her journey towards womanhood the most rapidly will become the subject of envy from all her classmates.",1820,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Emotion.Sense_Emotion,2,,
嬉,キ　うれ.しい　glad,嬉,overjoyed,"glad, pleased, rejoice",,キ,うれ.しい、 たの.しむ,kunyomi,,62,,,,"嬉しい
キ        嬉々【きき】merry; joyful; gleeful
嬉笑【きしょう】happy laughter
嬉戯【きぎ】frisking; frolicing",,,,"うらし, うれし",嬉しい(うれしい): happy; glad; pleasant,女: woman; female<br>喜: rejoice; take pleasure in,,,(none),,"""Finally, I got a woman ... I have to just shriek and rejoice, I'm so overjoyed!""",Men simply rejoice. Women tend to take their emotions a bit further and become overjoyed.,2319,JLPT.N1 Kanji_Emotion.Sense_Emotion ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,2,,
孕,ヨウ　はら.む　become pregnant,孕,expecting,become pregnant,,ヨウ,はら.む,kunyomi,,62,,,,"孕む
ヨウ        妊孕能【にんようのう】fertility
妊孕【にんよう】conception; pregnancy; fecundation
孕婦【ようふ】pregnant woman",,,,"はらみ, もと",,乃: from; possessive particle; whereupon; accordingly<br>子: child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac,,,(none),,"""A woman says to me “I’m expecting – there’s a child in here (pointing to her stomach)” I put my ear to her stomach and suddenly the child punches me – I see the shape of its fist in the stomach wall. “Well, you might be expecting, but I certainly wasn’t expecting that” I reply.""","""Fist, child: The guy had only put his fist inside and now his girlfriend is expecting a child. """"How long ago did I have that business trip?"""", he wonders.""",2320,JLPT.N0 ShouldSuspend gradeS+,2,,
宛,エン　address,宛,address,"address, just like, fortunately",,エン,,onyomi,,62,,,,"宛先,宛名",,,,,宛(あて): (1) aim; object; purpose; end (2) expectations; prospects; hopes (3) something that can be relied upon (4) snack served with alcoholic drink (5) pad; guard (6) blow; strike (7) addressed to (8) per<br>宛名(あてな): (addressee's) name; (recipient's) name and address<br>宛てる(あてる): to address,宀: shaped crown; katakana u radical (no. 40)<br>夕: evening<br>卩: seal radical (no. 26),8,宀,(none),会意 Compound Ideographic,Your address should be displayed on your house and mailbox.,"For the primitive: This is a hi-tech Japanese mailbox, it automatically lights up in the evening, and has a biometric fingerprint scanner. --- Each house´s address, even if it´s hard to see in the evening, is like its own unique fingerprint.",1521,JLPT.N0 gradeS,2,,
宥,ユウ　なだ.める　soothe,宥,soothe,"soothe, calm, pacify",,ユウ,なだ.める、 ゆる.す,kunyomi,,62,,,,"宥める
ユウ        宥和【ゆうわ】appeasement
宥和政策【ゆうわせいさく】appeasement policy
贖宥状【しょくゆうじょう】indulgence (religious)",,,,,,宀: shaped crown; katakana u radical (no. 40)<br>有: possess; have; exist; happen; occur; approx,,,(none),,"""It really soothes my mind that I possess a house. Now at least all my payments are going towards something solid, instead of just throwing it away as rent.""","""My house is possessed by the ghost of Barry White, who often sings me songs to soothe me to sleep at night.""",2322,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou,2,,
尤,"ユウ　もっと.も　とが.める　plausible, blame",尤,understandably,"reasonable, just, natural, superb, outstanding, plausible",,ユウ,もっと.も、 とが.める,kunyomi,,62,,,,"尤もらしい
ユウ        尤なる【ゆうなる】superb; outstanding
尤度【ゆうど】likelihood
尤物【ゆうぶつ】something superior; beautiful woman",,,,,尤も(もっとも): quite right; plausible; natural; but then; although,尢: crooked-big radical (no. 43)<br>丶: dot; tick or dot radical (no. 3),,,(none),,A chihuahua with one human leg is understandably not as fast as other chihuahuas.,That one-human-legged chihuahua that appeared before the capital in concerning (#1969) is understandably traumatized by the abuse he suffered at the hands of the scientists.,2232,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,2,,
屓,キ　exerting strength,屓,exerting strength (aikido),exerting strength (aikido),,キ,,onyomi,,62,,,,贔屓,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,2,,
嵌,カン　は.まる　go into,嵌,fit into,"go into, plunge, inlay",,カン,は.める、 は.まる、 あな,kunyomi,,62,,,,"嵌まる
カン        嵌入【かんにゅう】setting in; inlaying; dovetailing
嵌合【かんごう】fitting together (e.g. nuts and bolts); fit",,,,,"嵌める(はめる): (1) to insert; to put in (such that there is a snug fit); to button; to put on (something that envelopes, e.g. gloves, ring) (2) to have sex; to fuck (3) to pigeonhole (into a particular category) (4) to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs) (5) to entrap; to set someone up (i.e. frame them for a crime, etc.)<br>嵌まる(ハマる): (1) to fit; to get into; to go into (2) to be fit for (a job, etc.); to be suited for; to satisfy (conditions) (3) to fall into; to plunge into; to get stuck; to get caught (4) to be deceived; to be taken in; to fall into a trap (5) to be addicted to; to be deep into; to be crazy about; to be stuck on",山: mountain<br>甘: sweet; coax; pamper; be content; sugary<br>欠: lack; gap; fail; yawning radical (no. 76),,,(none),,No way that sweet girl can fit those mountains of hers into an A-cup. They'll be severely lacking space. Too many sweets I guess.,"""(from mantixen's) I was going to take some sweets on my climb up the mountain, but it wouldn't fit into my bag, so I lack them.""",2337,JLPT.N0 ShouldSuspend gradeS+,2,,
庇,"ヒ　かば.う　ひさし　protect, cover, eaves",庇,overhang,"protect, shield, defend, eaves, canopy, penthouse, visor",,ヒ,かば.う、ひさし、 おお.う,kunyomi,,62,,,,"庇う
ヒ        庇護【ひご】patronage; protection
曲庇【きょくひ】harboring (a criminal); harbouring",,,,,庇う(かばう): to protect someone; to take under one's wing; to plead for; to stick up for; to cover up for someone,广: dotted cliff radical (no. 53)<br>比: compare; race; ratio; Philipines,,,(none),,"""This overhang is really good against the warmth. Compared with other overhangs, this one makes you feel as cool as if you are in a cave.""",This overhang has so much shade it's comparable to being in a cave.,2343,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
弄,もてあそ.ぶ　いじ.る　いら.う　ロウ　play with,弄,tinker with,"play with, tamper, trifle with",,ロウ,いじ.る、 いじく.る、 ろう.する、 ひねく.る、 たわむ.れる、 もてあそ.ぶ,kunyomi,,62,,,,"ロウ        愚弄【ぐろう】mockery; derision; ridicule
翻弄【ほんろう】trifling with; tossing about (a ship)
玩弄【がんろう】make sport of; toy with; play with
ろうする        弄する【ろうする】to play with; to deride
いじる        弄る【いじる】to touch; to grope about
もてあそぶ        弄ぶ【もてあそぶ】to play with (a toy, one's hair, etc.); to toy with (one's emotions, etc.); to do with something as one pleases; to appreciate",,,,,弄る(いじる): (1) to touch; to tamper with (2) to grope about; to feel for something,玉: jewel; ball<br>廾: twenty; 20; twenty or letter H radical (no. 55),7,廾,(none),会意 Compound Ideographic,The king used both hands to tinker with himself in his spare time.,"Picture the king holding a large pan in his two hands and tinkering with it, wishing he could lead the itinerant life of a tinker. As a rhyme: The king, he uses his two hands, To tinker with his pots and pans . . .",731,JLPT.N0 gradeS,3,,
彙,イ　same kind,彙,glossary,"same kind, collect, classify, category, hedgehog",,イ,,onyomi,,62,,,,,,,,,語彙(ごい): vocabulary; lexicon; lexis; terminology,彑: pig's head radical variant (no. 58)<br>冖: wa-shaped crown radical (no. 14)<br>果: fruit; reward; carry out; achieve; complete; end; finish; succeed,13,彐,(none),象形 Pictographic,People who read the glossary are mutually exclusive (exclude the top line of mutually (#757) ) from those who eat crowned fruit イ はりねずみ same kind 語彙.,"I was having mutual difficulties in my relationship. She was always the one wearing the crown and I was the one picking the fruit. In order to fix the problem I checked the glossary for ""mutual difficulties"" but found nothing. I guess we´re going to have to mutually end our relationship.",1237,JLPT.N0 gradeS,3,,
彷,ホウ　さまよ.う　stray,彷,"stray, wander, loiter","stray, wander, loiter",,ホウ,さまよ.う,onyomi,,62,,,,"ホウ        彷彿【ほうふつ】close resemblance; vivid reminder (e.g. of the past)
彷徨【ほうこう】wandering; fluctuation
彷徊【ほうかい】walking around aimlessly",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,3,,
徨,コウ　wandering,徨,wandering,wandering,,コウ,さまよ.う,kunyomi,,62,,,,"コウ        彷徨【ほうこう】wandering; fluctuation
さまよう        彷徨う【さまよう】to loiter; to putter; to prowl; to wander about; to roam about; to knock around",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,3,,
悉,"シツ　ことごと.に　つぶさ.に　つ.きる　all, entirely",悉,without exception,"all, entirely, altogether, completely, use up, run out of, exhaust, befriend, serve",,シツ,ことごと、 ことごと.く、 つぶさ.に、つ.きる、 つ.くす,kunyomi,,62,,,,"シツ        不悉【ふしつ】Very Sincerely Yours
知悉【ちしつ】complete knowledge
悉無律【しつむりつ】all-or-none law; all-or-none-principle
ことごと        悉く【ことごとく】altogether; entirely
悉【ことごと】everything
ことごとく        悉く【ことごとく】altogether; entirely
つぶさに        悉に【つぶさに】in detail; with great care; completely; again and again",,,,,悉く(ことごとく): altogether; entirely,釆: separate; divide; topped rice radical (no. 165)<br>心: heart; mind; spirit; heart radical (no. 61),,,(none),,"""Without exception, the heart of every hunter starts beating like crazy as he comes upon the tracks of an animal.""",If you get addicted to playing dice (番）without exception you will end up losing your rice fields (田） so take my warning to heart.,2508,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
惚,コツ　ほけ.る　ほ.れる　ぼ.ける　fall in love with,惚,infatuation,"fall in love with, admire, grow senile",,コツ,ほけ.る、 ぼ.ける、 ほ.れる,kunyomi,,62,,,,"コツ        恍惚【こうこつ】ecstasy; trance
恍惚状態【こうこつじょうたい】state of ecstasy (rapture); trance; senile dementia
ほれる        惚れる【ほれる】to fall in love; to be in love; to be charmed with; to lose one's heart to",,,,,自惚れ(うぬぼれ): pretension; conceit; hubris<br>惚ける(とぼける): (1) to play dumb; to feign ignorance; to play innocent; to have a blank facial expression (2) to play the fool (3) to be in one's dotage,心: heart; mind; spirit; heart radical (no. 61)<br>忽: in a moment; instantly; all of a sudden; neglect; disregard,,,(none),,Infatuation is the state of mind that makes a knot form in your heart.,Data instantaneously (#2431)忽 combusted when he first experienced infatuation.,2376,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
惧,グ　ク　おそ.れる　fear,惧,"fear, be afraid of, dread","fear, be afraid of, dread",,ク,おそ.れる,onyomi,,62,,,,危惧　キグ,,,,,,"心: heart; mind; spirit; heart radical (no. 61)<br>具: tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture",11,心,(none),形声 Phonetic,My mind found the tool disquieting.,Its disquieting to my state of mind when tools are arranged messily.,680,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Emotion.Sense_Emotion,3,,
愁,チュウ　うれ.い　distress,愁,distress,"distress, grieve, lament, be anxious",,シュウ,,onyomi,,62,,,,郷愁　きょうしゅう,,,,,郷愁(きょうしゅう): nostalgia; homesickness,秋: autumn<br>心: heart; mind; spirit; heart radical (no. 61),13,心,(none),形声 Phonetic,"In AUTUMN, the farmer´s HEART is in DISTRESS as to if he has enough crops. Even better, the farmer will experience great DISTRESS in his HEART if his WHEAT catches FIRE!","Here we have distressed (think ""gloomy"") people with ""seasonal mood disorder"" during the autumn season. Hence ""autumn heart"" is distressed (gloomy).",967,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_Emotion.Sense_Emotion,3,,
